text,label,split
Most fun NBA team to watch this season?,question,train
"AMA: Cameron Boozer, AJ Dybantsa, Darryn Peterson from the 2026 NBA Draft Media Circuit",news,train
Infamous Aaron Wiggins speech after winning the Championship,hype,train
Biggest reaches in NBA history?,question,train
"This prescient call by Ian Eagle before Game 1, Rd 1 tip-off",hype,train
"[Windhorst] Today, the Boston Celtics are announcing to the world, 'We ain't good enough to beat the Knicks.'",hot_take,train
[Jake Madison] The Atlanta Hawks and New Orleans Pelicans have had trade discussions involving the 8th pick and Trey Murphy III,news,train
Durant On Leaving OKC: 'It was a basketball decision. I would do that shit a million times.',hot_take,train
"LeBron tries to fake the behind the back pass, Maurice Evans doesn't bite",hype,train
Chris Haynes: 'I don't think it [Miami Heat] was his top destination.',news,train
"Bill Russell declined being the first Black Hall of Famer, believing earlier Black pioneers deserved the honor",analysis,train
"When people rank Hakeem vs. Duncan, what are they really debating?",question,train
Reclamation Projects - players who didn't do well with first team but found success elsewhere,question,train
"[Haynes] Sources: The 3 teams Giannis was open to signing an extension with: Miami, Boston and Minnesota.",news,train
Keaton Wagler on canceling his workout with the Nets,news,train
[Stein] Celtics emerged from the weekend 'with a real shot' to win the Giannis race with a Jaylen Brown-centric offer,news,train
Amazon inks deal with Boardroom. Could this signal Kevin Durant as NBA on Prime analyst?,analysis,train
Kobe Bryant relentlessly attacks Tim Duncan as he puts up 39 points to clinch the Western Conference Finals (2008),hype,train
Do you believe the east will be a war zone next year?,question,train
14 Years Ago Today - OKC's Big 3 Played Their Final Game Together,hype,train
Why's Kawhi Always Sound Like He's in Pain When Laughing,hype,train
Highest Turnover Percentage On Drives In The 2025-26 NBA Playoffs,analysis,train
What if the Bucks had Sold-High on Giannis in 2024?,question,train
"[Krawczynski] Timberwolves have held discussions on Giannis, Kyrie, Trey Murphy III, Josh Giddey, Derrick White",news,train
Comparing Giannis and Jimmy's three point shooting.,analysis,train
[Jackson] The Heat could try to lure impending free agent LeBron James with its full midlevel exception,news,train
The Miami Heat have a desperate need for shooters. Do they trade for Malik Beasley?,question,train
Go behind the scenes of the New York Knicks historic run to the 2026 NBA Championship.,hype,train
Connor Bedard teaches rookie Victor Wembanyama how to shoot a hockey puck,hype,train
So all these wild swinging trade rumors are just prediction market manipulation right?,hot_take,train
Nikola Jokic drops the first 30/20/10 in an NBA finals game against the Heat,hype,train
"In the 90's the #1 seed from each Conference met in the NBA Finals 4 times. Since 2000, only 3 times.",analysis,train
A cool fact about Klay's 37 point quarter - his scoring rate matched Wilt's 100 point game,analysis,train
Will the opening game of the 2026/27 NBA season be the New York Knicks vs the Miami Heat?,question,train
Dwyane Wade spins and explodes all over Kendrick Perkins (2011),hype,train
"Based on their current cores, which Top Prospects fit Wizards and Jazz?",question,train
High school game of Lebron James. The colour commentary is amazing.,hype,train
Derrick White jumpsscare for Heat fans.,hype,train
Nikola Jokic on being named captain for Serbia: I don't know if I deserve it yet,hype,train
Arguably LeBron's best pass ever - an absolute bullet to Big Z for the easy basket (2006),hype,train
[Smith] Updated 2026 cap space projections factoring in BKN-CHI-MIN trade,analysis,train
"AJ Dybantsa: 'I think both teams, Utah and Washington, they have a deep enough roster that if they add me, we can automatically be a playoff team.'",hot_take,train
AJ Dybantsa on his scoring: 'My bag is deep but I don't even be bringing out the deepness of my bag.',hot_take,train
"[Marks] Entering the offseason, OKC had a projected tax penalty of $213M. The Wiggins trade reduces that to $152M.",analysis,train
Jaylen Brown on Shanghai Sharks: 'Cut the check Shanghai I'm outta here. Get ready to learn Mandarin buddy.',hype,train
[Robbins] Wizards convinced Trae Young was going to command max offers from other franchises,news,train
"After Aaron Wiggins got traded, the Sacramento Kings have just three 2nd round picks for the next 8 years.",analysis,train
Giannis Trade Impact - does this force teams in the East to recalibrate draft decisions?,question,train
East and Western Conference isolation until NBA Cup concept,hot_take,train
Miami now has only 5 players who started at all for the team last season,analysis,train
"If Giannis gets traded today, it will happen between 5-10PM based on historical precedent",analysis,train
"[Stein] If Bucks choose Boston, Milwaukee ownership's insistence on getting a star back would be deciding factor",news,train
Which top 20 draft pick is most likely to fail to live up to expectations?,question,train
[Smith] Updated 2026 cap space projections: 1. Lakers: $52.1M 2. Nets: $36.1M 3. Bulls: $32.5M,analysis,train
[Highlight] When Damian Lillard Hit a Game Winning 3 With 0.9 Seconds Left To Eliminate The Rockets,hype,train
"[Aldridge] 2026 NBA Draft confidential: Coaches, scouts, execs on AJ Dybantsa, top wing prospects",analysis,train
[Krawcynski] The Wolves have not been in the Ja Morant mix. Decision was made to look elsewhere for backcourt help,news,train
Paul Pierce and Kevin Garnett Say Today's Players Don't Look Hurt Anymore After Losing,hot_take,train
"[Charania] Atlanta Hawks guard CJ McCollum agreed to a one-year, $21 million contract extension",news,train
The only way I would tolerate the Aspiration scandal ending - satirical draft night scenario,hype,train
Been 4 Hours Since Giannis Posted This… Still NOTHING,hype,train
[Charania] The Miami Heat and the Boston Celtics are the only two teams Giannis committed to sign long term with.,news,train
I think the Trae Young contract will end up like the Bradley Beal contract. Wizards love overpaying small guards.,hot_take,train
Has modern NBA parity changed how we should evaluate all time great players?,question,train
Trae young got a max because of the new lottery changes,analysis,train
[Charania] Oklahoma City Thunder finalizing trade to send Aaron Wiggins to Atlanta Hawks for two second-round picks,news,train
"Before Devin Vassell, there was Blake Griffin and Derrick White hitting an alley-oop three.",hype,train
Are The Portland TrailBlazers Going Into The Draft on Tuesday With No Head Coach?,question,train
"Charles Oakley: 'I was supposed to be on the Roommate podcast. I get a call the day before. They said, we have to cancel you. And then three weeks later, guess who was on there? Dolan.'",hot_take,train
Jaylen Brown now staying in Boston?,question,train
"Despite Owning the 9th Pick, the Dallas Mavericks Have Yet to Hire a Head Coach",news,train
[Chiang] Jaylen Brown is now on the table for Antetokounmpo. Heat forced to improve their offer.,news,train
Charles Oakley: 'Patrick Ewing always been like that. He never stood up for nobody.',hot_take,train
"After the KD Nets were eliminated in 2021, Jackie MacMullan claimed KD's goal was to win 3 championships with Brooklyn.",analysis,train
[Fischer] Darryn Peterson met with the Utah Jazz over this weekend,news,train
What type of contract do you think Tari Eason receives this offseason?,question,train
"Hypothetically if the Suns advanced past the Lakers in the 2010 WCFF, do they beat Boston?",question,train
"With all the discussion about the Heat's roster, they also retained slam dunk champion Keshad Johnson",news,train
[Fischer] While the reigning champion New York Knicks assess their trade options for picks No. 24 and 31,news,train
[ALLCITY] Marc Stein: 'The Bucks want at least 2 lottery picks this draft. BOS only has #27.',analysis,train
"[Bill Simmons Pod] Zach Lowe: 'The Knicks winning is a meaningful, material change to what the Brooklyn Nets mean to the NBA.'",hot_take,train
I wanted to find out if 5 Big East players starting the NBA finals was the most ever for one college conference,analysis,train
[Noh] My salary model has Trae Young at $115.1 million in value over the next four years. That makes his $212 million contract underwater by $97 million.,analysis,train
[Bill Simmons Pod] Bill on trading for Giannis: 'I'm not taking Giannis but also getting rid of Derrick White',hot_take,train
The secret battle for the NBA's first Chinese player,analysis,train
Durant On Warriors: 'I didn't have no relationship with nobody on the Warriors. Nobody liked Golden State.',hot_take,train
Archetypes are not a fair way of deciding who can be the best player on a championship team,hot_take,train
"AJ Dybantsa on what he brings: 'I'm super versatile, 6'9 doing it all. I fill seats.'",hot_take,train
"Giannis Trade Overreactions - r/nba is acting like Giannis is some washed-up, hobbled old man",hot_take,train
"Ruben Patterson, the 'Kobe Stopper', tries his best to stop a Kobe shot and is in disbelief",hype,train
Do the Heat have capacity to add more pieces?,question,train
"Post-Aaron Wiggins trade, OKC now have two roster slots open and three picks in the draft",analysis,train
"[Charania] Free agent Jordan Goodwin intends to sign a 3-year, $19M deal to return to Phoenix Suns",news,train
8 Years Ago Today - 2X MVP Shai Gilgeous-Alexander Was Drafted By The Charlotte Hornets,hype,train
Do you remember my r/nba series NBA Hardware TOP 100? I'm now building an interactive website.,question,train
[KTNV] Golden Knights founder Bill Foley pursuing bringing NBA expansion team to Las Vegas,news,train
[Dan Woike] Lakers remain 'on the clock' to build a contender around Dončić. Threat he could have a wandering eye.,news,train
How each NBA team assembled their current rosters Visualized,analysis,train
[Fischer] Milwaukee's decision makers are split between Boston's package and Miami's for Giannis.,news,train
Prediction: The Timberwolves will trade for Jalen Suggs,hot_take,train
The Southeast Division Next Year - breakdown after Giannis trade,analysis,train
When Russell Westbrook Hit a 40 Foot Game Winner The Same Night He Broke The Triple Double Record,hype,train
Is it even Possible for the Heat to keep Powell?,question,train
[Nehm & Amick] League sources say there is a great deal of interest around the league in Herro,news,train
"The Barkley before Barkley; Wes Unseld competing against Wilt, Kareem, Russell as a monstrous rebounder",analysis,train
"Jaylen Brown: 'To all the people that doubted me or want me gone, you're turning me into a monster.'",hype,train
LeBron James Says The Toughest Person He Has Ever Guarded Was 10 Year Old Derrick Tarver,hype,train
When Anthony Edwards Was Told He's The 7th Hottest Player of All Time,hype,train
LeBron James' Athleticism During His First Cleveland Stint,hype,train
[Vecenie] Clippers mulling trade down to get another pick in case Aspiration scandal results in pick loss,news,train
Rank This Decade's NBA Finals,question,train
"[Highlight] Giannis' first, second and third career three pointer occurred in Miami.",hype,val
[ESPN] Gregg Popovich once called Steve Kerr to say he'd decided to retire. A week later Pop signed an extension.,hot_take,val
Shawn Kemp Posterizes Alton Lister Then Points At Him,hype,val
The Giannis trade saga is overshadowing the new draft lottery rules and how rebuilds look now,analysis,val
why is the nba max based on years of service that go up to 10+ years?,question,val
[Stein] The Mavs and Thunder have discussed a trade that would send pick #9 to OKC for picks #12 and #17,news,val
"Since 1989, there are 5 teams in nba history that have had 3 all nba players on them that year.",analysis,val
"In a tie game with 20 seconds left, Collin Sexton calls for the ball and is waved off by Isaiah Collier. 'Give me the f***ing ball!'",hot_take,val
Demarcus Cousins puts up a top 75 GameScore: 44/24/10 with 4 steals and 1 block,hype,val
"[Sankofa] Duncan Robinson, Isaiah Stewart, and Ron Holland candidates to be moved in Tyler Herro trade to Detroit.",news,val
[Fischer] Kasparas Jakucionis was Miami's version of Boston's Hugo Gonzalez hang-up. Sizable haul compared to Jaylen Brown.,analysis,val
That time JR Smith only packed a weeks worth of underwear to stay in the Bubble.,hype,val
[OC] Sports Info Solutions: Clustering Pre-Draft Profiles to Predict NBA Success,analysis,val
[Charania] BREAKING: Dusty May has agreed to become the new head coach of the Dallas Mavericks.,news,val
"During this year's playoffs, Victor Wembanyama recorded 77 defensive stops. No player has recorded more since 2010-11.",analysis,val
[DePaula] Darryn Peterson has signed a massive long-term deal with Adidas. Top 5 richest rookie shoe deal in NBA history.,news,val
NJ father and son attacked after Knicks championship game in San Antonio,hot_take,val
Cap Analysis: How I learned to stop worrying and love the max extension for Trae,analysis,val
Is the NBA more popular than the NFL worldwide?,question,val
"Kyrie Irving On Not Attending Cavs 2016 Reunion, New HC Dusty May, & 'the Simulation of this Matrix'",hot_take,val
Why does it seem like every 1st overall pick is being called generational?,hot_take,val
"With the draft tonight, which draft class had the best 2nd round of players?",question,val
Bill Walton's 44 point game at UCLA.,hype,val
David Stern asks Jim Rome: 'Have you stopped beating your wife yet?',hot_take,val
"Bucks are building an intriguing young core with Ryan Rollins, Kasparas Jakucionis, and Kel'El Ware",analysis,test
What is your team's far and away worst decision ever made?,question,test
who should the bucks draft with the 10th and 13th pick?,question,test
Highlights: Giannis Antetokounmpo Scores 31 Points & 14 Rebounds vs. Pacers,hype,test
2026 Nba Regular Season Awards: Looking Back - All NBA Teams official voting,analysis,test
NBA King of the Hill w/ AJ Dybantsa Before The Draft,hype,test
"[ESPN] Giannis traded to Heat: Grades, reaction, Bucks' next steps - Miami Heat B-, Milwaukee Bucks B+",analysis,test
[Bill Simmons Pod] Bill: 'I don't want the Celtics to trade Jaylen Brown for Giannis',hot_take,test
14 Years Ago Today - Chris Bosh Pours Champagne All Over His Face After Winning Championship,hype,test
What shot creating guards should the Heat go for if Powell doesn't resign?,question,test
[Bleacher Report] Jake Fischer: There is some type of split faction in MIL right now among the major stakeholders,news,test
[Windhorst] The Boston Celtics have firmly put Jaylen Brown on the table and are going all-in on acquiring Giannis.,news,test
Was the Celtics - Giannis Trade offer better?,analysis,test
Who will be the Knicks Opponent on Opening Night: Ranked,hot_take,test
[Windhorst] LA Clippers quietly visiting draft prospects in the late lottery range. Could signal trade of Leonard.,news,test
[Fischer] Kasparas Jakucionis was Miami's version of Boston's Hugo Gonzalez hang-up.,analysis,test
Who does everyone think the next superstar to get dealt is?,question,test
[Sergio] Boozer's 18.7 BPM is 3rd ALL-TIME behind Zion and AD. Dybantsa at 11.7 is a different conversation.,analysis,test
[Charania] BYU's AJ Dybantsa is who's being looked at strongest for the No. 1 overall pick with the Wizards.,news,test
There's a strong precedent for the awkward Jaylen Brown/Celtics situation - the Pippen/Bulls parallel,analysis,test
Who should the Heat realistically sign in free agency?,question,test
[Keith Smith] Trae Young's new contract breakdown year by year,analysis,test
Who do you think will be the Ajay Mitchell in this years upcoming draft?,question,test
Chris Haynes: 'The Boston Celtics are the front runners to land Giannis Antetokounmpo',news,test
The league-wide PER leaders through the first half of the 2026-27 season - surprising names in the top 10,analysis,train
Three point rate across the league has plateaued. Are we seeing the end of the three point revolution?,analysis,train
Shannon Sharpe and Skip Bayless get into heated argument over whether Luka or SGA is better right now,hot_take,train
Ja Morant should never play in the NBA again after everything that's happened,hot_take,train
Historical comparison: every team that won a title the year after losing a superstar,analysis,train
Cade Cunningham's step-back three to tie it with 2 seconds left. Pistons fans losing their minds.,hype,train
Giannis going to Miami makes them immediate championship contenders,hot_take,train
[Stein] Pacers not expected to match any offer sheet for restricted free agent this summer,news,train
Charles Oakley blasts former teammate live on air: 'He was never really one of us',hot_take,train
LeBron is not and never was better than Michael Jordan. End of discussion.,hot_take,train
Why playoff experience matters more than regular season record in predicting Finals outcomes,analysis,train
Who wins in a 7 game series: 2016 Warriors or 1996 Bulls?,question,train
Jayson Tatum's 360 layup in traffic in the fourth quarter of a playoff game,hype,train
If Cade Cunningham stays healthy does Detroit make the playoffs next year?,question,train
The Celtics blew it by not getting Giannis. They are done competing for the next 3 years.,hot_take,train
Wembanyama is already better than any big man the NBA has seen since prime Shaq,hot_take,train
Breaking down why the Giannis-Bam frontcourt actually works better than people think,analysis,val
"Fan confronts player outside arena after loss, security footage goes viral",hot_take,val
Former GM says the Darko pick wasn't a mistake - the medical staff knew something the public didn't,hot_take,val
Wembanyama with the most absurd block you will see all season - full extension from the elbow,hype,val
[Shams] Cavaliers extend Donovan Mitchell to a max contract keeping him in Cleveland through 2030,news,val
Michael Jordan's shrug game but with modern broadcast quality restored - looks completely different,hype,val
Is the play-in tournament good or bad for the NBA?,question,val
Trae Young will never win a championship. His defense is just too bad.,hot_take,val
Draymond Green says current generation of players 'couldn't survive' the physical play of the 90s,hot_take,val
[ESPN] NBA investigating Clippers for tampering violations related to the Aspiration program,news,val
The NBA regular season is completely meaningless and should be shortened to 50 games,hot_take,val
[Charania] Warriors and Rockets discussing a three-team trade involving multiple first round picks,news,val
Steph Curry drops 52 on 9-15 from three in a regular season blowout,hype,val
[Fischer] Knicks exploring upgrading backup center position ahead of title defense,news,val
Usage rate vs win shares for every max contract player since 2015 - who actually earned it?,analysis,val
Throwback: that time Charles Barkley said he would never come back to Phoenix,hype,val
[Wojnarowski] Lakers finalizing a deal to bring in a veteran point guard before training camp,news,val
Refs have been openly biased toward big market teams for decades and nobody talks about it,hot_take,val
Kyrie Irving is a top 10 all time player and his rings prove nothing either way,hot_take,val
Should the NBA adopt a midseason relegation system like European soccer leagues?,question,val
Who has the better career so far: Luka or Giannis at the same age?,question,test
What's the best basketball city in America outside of LA and New York?,question,test
Which current player will age the best going into their mid 30s?,question,test
Anthony Edwards goes OFF for 43 points in MSG and the crowd goes completely silent,hype,test
This Nikola Jokic no-look pass from halfcourt is genuinely unreal,hype,test
